id,nome,apelido,nacionalidade,email,senha,numeroCartaoCredito,profissao,endereco,telefone
1,Raimundo Emanuel da Mota,,Brasil,raimundoemanueldamota@sdrifs.com.br,nrNGrLp8FN,5516 1397 9517 4855,Professor(a),Rua Francisco de Souza Matozo", 110,(84) 3505-4738
2,Erick Caio Bernardes,,Brasil,erickcaiobernardes-73@accor.com.br,xyoqQZ2XL8,4556 6662 5581 1026,Engenheiro(a),Rua JM-35", 290,(63) 2666-4887
3,Samuel Marcos Diego Rezende,,Brasil,samuelmarcosdiegorezend@ltecno.com.br,iUxKfHkJoZ,4539 6313 5522 5230,Professor(a),Travessa Flamengo", 969,(68) 2765-0729
4,Iago Paulo Alexandre Brito,,Brasil,iagopauloalexandrebrito@cenia.com.br,44WUzCTOaq,6062 8278 2808 4986,Estudante(a),Rua Treze", 996,(79) 3559-0650
5,Sônia Luana Santos,,Brasil,sonialuanasantos_@alstom.com,IoBFBC6XCW,6062 8218 2175 9108,Estudante(a),Beco Borboleta", 739,(92) 2891-8142
6,Juan Breno Tiago Drumond,,Brasil,jjuanbrenotiagodrumond@live.com.br,ce5weOajnU,4494 5562 6206 3817,Programador(a),Rua Quintino Bocaiúva", 797,(86) 2754-2620
7,Alana Emily das Neves,,Brasil,alanaemilydasneves-93@yahoo.com.ar,TtN2H2a7BW,5010 4016 2255 0900,Professor(a),Rua Arthur Mangabeira", 780,(67) 2768-8550
8,Davi Samuel da Costa,,Brasil,davisamueldacosta@live.com.br,qBaJ8zA3zw,5373 1564 6649 7763,Médico(a),Rua Jaciara", 590,(65) 2985-9089
9,Caroline Simone da Cruz,,Brasil,ccarolinesimonedacruz@hotmail.fr,8jSjYAopjq,5252 7455 0415 8209,Pesquisador(a),Caminho 47-Quadra F", 266,(71) 2841-1979
10,Renan Lucca Ruan dos Santos,,Brasil,renanluccaruandossantos@avantii.com.br,aRMRyg5PFe,5356 6879 0001 6141,Estudante,Rua Vanias da Silva,(47) 2909-7115
